,TF,Target,Label
0,4,829,1
1,4,1210,1
2,4,999,1
3,4,147,1
4,4,1130,1
5,4,384,1
6,4,488,1
7,4,1040,1
8,4,460,1
9,4,708,1
10,4,1368,1
11,4,868,1
12,4,447,1
13,4,511,1
14,4,479,1
15,4,40,1
16,4,1206,1
17,4,626,1
18,4,325,1
19,4,1306,1
20,4,1371,1
21,4,759,1
22,4,831,1
23,4,24,1
24,4,1568,1
25,4,1469,1
26,4,787,1
27,4,1013,1
28,4,607,1
29,4,224,1
30,4,1460,1
31,4,276,1
32,4,852,1
33,4,412,1
34,4,1472,1
35,4,1093,1
36,4,235,1
37,4,1059,1
38,4,290,1
39,4,584,1
40,4,1260,1
41,4,1598,1
42,4,220,1
43,4,191,1
44,4,208,1
45,4,808,1
46,4,661,1
47,4,1258,1
48,4,193,1
49,4,975,1
50,4,1375,1
51,4,490,1
52,4,1504,1
53,4,98,1
54,4,648,1
55,4,1281,1
56,4,465,1
57,4,1063,1
58,4,841,1
59,4,509,1
60,4,820,1
61,4,824,1
62,4,441,1
63,4,1330,1
64,4,1366,1
65,4,891,1
66,4,589,1
67,4,588,1
68,4,10,1
69,4,757,1
70,4,968,1
71,4,1053,1
72,4,1528,1
73,4,1383,1
74,4,394,1
75,4,1519,1
76,4,1202,1
77,4,1619,1
78,4,906,1
79,4,1250,1
80,4,1561,1
81,4,1523,1
82,4,523,1
83,4,1252,1
84,4,585,1
85,4,951,1
86,4,1374,1
87,4,1168,1
88,4,867,1
89,4,830,1
90,4,739,1
91,4,522,1
92,4,13,1
93,4,1083,1
94,4,658,1
95,4,879,1
96,4,753,1
97,4,64,1
98,4,890,1
99,4,1582,1
100,4,1515,1
101,4,900,1
102,4,1291,1
103,4,1341,1
104,4,1125,1
105,4,457,1
106,4,405,1
107,4,56,1
108,4,221,1
109,4,955,1
110,4,1067,1
111,4,812,1
112,4,1473,1
113,4,1358,1
114,4,1234,1
115,4,1113,1
116,4,616,1
117,4,1409,1
118,4,1553,1
119,4,385,1
120,4,358,1
121,4,1089,1
122,4,549,1
123,4,1464,1
124,4,788,1
125,4,1096,1
126,4,445,1
127,4,73,1
128,4,65,1
129,4,639,1
130,4,540,1
131,4,745,1
132,4,203,1
133,4,1012,1
134,4,597,1
135,4,1251,1
136,4,308,1
137,4,702,1
138,4,245,1
139,4,1195,1
140,4,1466,1
141,4,1344,1
142,4,709,1
143,4,1554,1
144,4,1240,1
145,4,411,1
146,4,173,1
147,4,834,1
148,4,473,1
149,4,467,1
150,4,922,1
151,4,621,1
152,4,1283,1
153,4,1271,1
154,4,865,1
155,4,233,1
156,4,1423,1
157,4,458,1
158,4,101,1
159,4,982,1
160,4,328,1
161,4,1367,1
162,4,185,1
163,4,980,1
164,4,1276,1
165,4,115,1
166,4,181,1
167,4,978,1
168,4,770,1
169,4,1441,1
170,4,972,1
171,4,238,1
172,4,1103,1
173,4,627,1
174,4,36,1
175,4,174,1
176,4,850,1
177,4,590,1
178,4,1326,1
179,4,1316,1
180,4,1071,1
181,4,89,1
182,4,612,1
183,4,594,1
184,4,1287,1
185,4,933,1
186,4,1099,1
187,4,1382,1
188,4,72,1
189,4,687,1
190,4,28,1
191,4,1145,1
192,4,1151,1
193,4,219,1
194,4,937,1
195,4,494,1
196,4,261,1
197,4,1038,1
198,4,1208,1
199,4,985,1
200,4,620,1
201,4,886,1
202,4,1299,1
203,4,871,1
204,4,1094,1
205,4,859,1
206,4,528,1
207,4,254,1
208,4,1491,1
209,4,581,1
210,4,469,1
211,4,1533,1
212,4,268,1
213,4,296,1
214,4,1242,1
215,4,1508,1
216,4,1603,1
217,4,1149,1
218,4,298,1
219,4,1394,1
220,4,1323,1
221,4,1006,1
222,4,727,1
223,4,1238,1
224,4,1010,1
225,4,816,1
226,4,1005,1
227,4,196,1
228,4,638,1
229,4,983,1
230,4,644,1
231,4,738,1
232,4,464,1
233,4,838,1
234,4,618,1
235,4,211,1
236,4,214,1
237,4,69,1
238,4,60,1
239,4,247,1
240,4,313,1
241,4,1157,1
242,4,663,1
243,4,909,1
244,4,363,1
245,4,366,1
246,4,944,1
247,4,1468,1
248,4,552,1
249,4,459,1
250,4,861,1
251,4,152,1
252,4,828,1
253,4,87,1
254,4,988,1
255,4,66,1
256,4,1480,1
257,4,223,1
258,4,48,1
259,4,1539,1
260,4,517,1
261,4,1121,1
262,4,1243,1
263,4,889,1
264,4,1230,1
265,4,332,1
266,4,167,1
267,4,391,1
268,4,359,1
269,4,836,1
270,4,681,1
271,4,1535,1
272,4,1132,1
273,4,576,1
274,4,897,1
