,TF,Target,Label
0,46,702,1
1,46,1101,1
2,46,276,1
3,46,101,1
4,46,163,1
5,46,571,1
6,46,597,1
7,46,726,1
8,46,978,1
9,46,587,1
10,46,814,1
11,46,752,1
12,46,1094,1
13,46,1041,1
14,46,236,1
15,46,804,1
16,46,81,1
17,46,750,1
18,46,1032,1
19,46,723,1
20,46,90,1
21,46,247,1
22,46,540,1
23,46,465,1
24,46,1029,1
25,46,685,1
26,46,719,1
27,46,28,1
28,46,886,1
29,46,976,1
30,46,78,1
31,46,867,1
32,46,828,1
33,46,536,1
34,46,729,1
35,46,69,1
36,46,418,1
37,46,165,1
38,46,356,1
39,46,473,1
40,46,706,1
41,46,622,1
42,46,797,1
43,46,1118,1
44,46,663,1
45,46,618,1
46,46,121,1
47,46,318,1
48,46,147,1
49,46,484,1
50,46,947,1
51,46,1044,1
52,46,127,1
53,46,1062,1
54,46,280,1
55,46,432,1
56,46,878,1
57,46,892,1
58,46,199,1
59,46,295,1
60,46,673,1
61,46,210,1
62,46,751,1
63,46,979,1
64,46,2,1
65,46,302,1
66,46,547,1
67,46,478,1
68,46,249,1
69,46,440,1
70,46,187,1
71,46,929,1
72,51,1066,1
73,51,609,1
74,51,441,1
75,51,375,1
76,51,446,1
77,51,1089,1
78,51,386,1
79,51,617,1
80,51,536,1
81,51,1044,1
82,51,248,1
83,51,1092,1
84,51,254,1
85,51,622,1
86,51,590,1
87,51,761,1
88,51,499,1
89,51,839,1
90,51,947,1
91,51,341,1
92,51,532,1
93,51,931,1
94,51,167,1
95,51,161,1
96,51,949,1
97,51,398,1
98,51,334,1
99,51,1038,1
100,51,283,1
101,51,822,1
102,51,974,1
103,51,933,1
104,51,9,1
105,51,714,1
106,51,352,1
107,51,159,1
108,51,1079,1
109,51,677,1
110,51,255,1
111,51,533,1
112,51,487,1
113,51,59,1
114,51,828,1
115,51,701,1
116,51,552,1
117,51,40,1
118,51,287,1
119,51,979,1
120,51,23,1
121,51,177,1
122,51,445,1
123,51,658,1
124,51,53,1
125,51,148,1
126,51,860,1
127,51,816,1
128,51,111,1
129,51,350,1
130,51,384,1
131,51,857,1
132,51,484,1
133,51,601,1
134,51,308,1
135,51,460,1
136,51,178,1
137,51,627,1
138,51,282,1
139,51,128,1
140,51,510,1
141,51,991,1
142,51,690,1
143,51,648,1
144,51,112,1
145,51,1118,1
146,51,637,1
147,51,597,1
148,51,252,1
149,51,769,1
150,51,1075,1
151,51,679,1
152,51,29,1
153,51,1005,1
154,51,1037,1
155,51,474,1
156,51,58,1
157,51,47,1
158,51,275,1
159,51,820,1
160,51,837,1
161,51,508,1
162,51,498,1
163,51,603,1
164,51,300,1
165,51,1099,1
166,51,130,1
167,51,798,1
168,51,507,1
169,51,928,1
170,51,158,1
171,51,675,1
172,51,27,1
173,51,417,1
174,51,574,1
175,51,140,1
176,51,545,1
177,51,147,1
178,51,516,1
179,51,313,1
180,51,168,1
181,51,1101,1
182,51,285,1
183,51,454,1
184,51,95,1
185,51,867,1
186,51,868,1
187,51,1010,1
188,51,38,1
189,51,383,1
190,51,760,1
191,51,593,1
192,51,481,1
193,51,500,1
194,51,443,1
195,51,1073,1
196,51,143,1
197,51,270,1
198,51,340,1
199,51,416,1
200,51,46,1
201,51,905,1
202,51,543,1
203,51,745,1
204,51,538,1
205,51,612,1
206,51,763,1
207,51,477,1
208,51,224,1
209,51,762,1
210,51,673,1
211,51,101,1
212,51,10,1
213,51,138,1
214,51,959,1
215,51,672,1
216,51,797,1
217,51,8,1
218,51,821,1
219,51,235,1
220,51,306,1
221,51,616,1
222,51,720,1
223,51,1034,1
224,51,380,1
225,51,811,1
226,51,276,1
227,51,88,1
228,51,810,1
229,51,752,1
230,51,547,1
231,51,17,1
232,51,691,1
233,51,213,1
234,51,754,1
235,51,1094,1
236,51,294,1
237,51,385,1
238,51,324,1
239,51,875,1
240,51,570,1
241,51,629,1
242,51,136,1
243,51,309,1
244,51,43,1
245,51,104,1
246,51,546,1
247,51,134,1
248,51,900,1
249,51,688,1
250,51,329,1
251,51,813,1
252,51,866,1
253,51,845,1
254,51,273,1
255,51,425,1
256,51,64,1
257,51,265,1
258,51,515,1
259,51,694,1
260,51,339,1
261,51,605,1
262,51,939,1
263,51,879,1
264,51,428,1
265,51,355,1
266,51,638,1
267,51,489,1
268,51,479,1
269,51,817,1
270,51,1014,1
271,51,919,1
272,51,642,1
273,51,540,1
274,51,687,1
275,51,858,1
276,51,435,1
277,51,387,1
278,51,773,1
279,51,826,1
280,51,750,1
281,51,509,1
282,51,258,1
283,51,496,1
284,51,975,1
285,51,924,1
286,51,240,1
287,51,805,1
288,51,851,1
289,51,1087,1
290,51,1029,1
291,51,996,1
292,51,684,1
293,51,221,1
294,51,737,1
295,51,1083,1
296,51,731,1
297,51,171,1
298,51,652,1
299,51,222,1
300,51,968,1
301,51,818,1
302,51,208,1
303,51,238,1
304,51,986,1
305,51,772,1
306,51,517,1
307,51,853,1
308,51,795,1
309,51,118,1
310,51,568,1
311,51,225,1
312,51,1072,1
313,51,109,1
314,51,260,1
315,51,432,1
316,51,618,1
317,51,812,1
318,51,645,1
319,51,15,1
320,51,328,1
321,51,451,1
322,51,151,1
323,51,984,1
324,51,916,1
325,51,93,1
326,51,315,1
327,51,952,1
328,51,854,1
329,51,689,1
330,51,165,1
331,51,859,1
332,51,1097,1
333,51,266,1
334,51,26,1
335,51,413,1
336,51,491,1
337,51,908,1
338,51,777,1
339,51,587,1
340,51,215,1
341,51,1110,1
342,51,831,1
343,51,297,1
344,51,429,1
345,51,963,1
346,51,102,1
347,51,1003,1
348,51,303,1
349,51,998,1
350,51,885,1
351,51,85,1
352,51,233,1
353,51,703,1
354,51,6,1
355,51,1057,1
356,51,34,1
357,51,431,1
358,51,753,1
359,51,220,1
360,51,799,1
361,51,724,1
362,51,709,1
363,51,610,1
364,51,539,1
365,51,485,1
366,51,692,1
367,51,346,1
368,51,740,1
369,51,163,1
370,51,449,1
371,51,712,1
372,51,656,1
373,51,1048,1
374,51,525,1
375,51,1063,1
376,51,981,1
377,51,272,1
378,51,888,1
379,51,55,1
380,51,231,1
381,51,815,1
382,51,296,1
383,51,354,1
384,51,790,1
385,51,511,1
386,51,331,1
387,51,381,1
388,51,1042,1
389,51,1070,1
390,51,327,1
391,51,730,1
392,51,251,1
393,51,938,1
394,51,199,1
395,51,729,1
396,51,32,1
397,51,588,1
398,51,194,1
399,51,531,1
400,51,870,1
401,51,1096,1
402,51,237,1
403,51,1052,1
404,51,1041,1
405,51,502,1
406,51,57,1
407,51,92,1
408,51,302,1
409,51,316,1
410,51,61,1
411,51,1068,1
412,51,153,1
413,51,30,1
414,51,669,1
415,51,756,1
416,51,800,1
417,51,1119,1
418,51,314,1
419,51,706,1
420,51,1069,1
421,51,659,1
422,51,653,1
423,51,829,1
424,51,249,1
425,51,404,1
426,51,635,1
427,51,664,1
428,51,611,1
429,51,1106,1
430,51,1116,1
431,51,1039,1
432,51,226,1
433,51,747,1
434,51,1054,1
435,51,749,1
436,51,461,1
437,51,624,1
438,51,950,1
439,51,390,1
440,51,135,1
441,51,852,1
442,51,142,1
443,51,584,1
444,51,1117,1
445,51,326,1
446,51,217,1
447,51,307,1
448,51,560,1
449,51,277,1
450,51,534,1
451,51,115,1
452,51,189,1
453,51,304,1
454,51,72,1
455,51,663,1
456,51,644,1
457,51,1015,1
458,51,160,1
459,51,615,1
460,51,578,1
461,51,299,1
462,51,994,1
463,51,409,1
464,51,591,1
465,51,554,1
466,51,122,1
467,51,944,1
468,51,833,1
469,51,780,1
470,51,657,1
471,51,1026,1
472,51,566,1
473,51,841,1
474,51,358,1
475,51,751,1
476,51,1077,1
477,51,1031,1
478,51,408,1
479,51,967,1
480,51,695,1
481,51,377,1
482,51,465,1
483,51,100,1
484,51,56,1
485,51,948,1
486,51,911,1
487,51,1104,1
488,51,453,1
489,51,1080,1
490,51,758,1
491,51,913,1
492,51,372,1
493,51,1016,1
494,51,137,1
495,51,349,1
496,51,403,1
497,51,557,1
498,51,886,1
499,51,141,1
500,51,937,1
501,51,670,1
502,51,807,1
503,51,124,1
504,51,776,1
505,51,471,1
506,51,427,1
507,51,789,1
508,51,365,1
509,51,594,1
510,51,357,1
511,51,35,1
512,51,955,1
513,51,424,1
514,51,459,1
515,51,488,1
516,51,41,1
517,51,66,1
518,51,551,1
519,51,192,1
520,51,318,1
521,51,493,1
522,51,936,1
523,51,156,1
524,51,368,1
525,51,36,1
526,51,884,1
527,51,1086,1
528,51,133,1
529,51,849,1
530,51,426,1
531,51,292,1
532,51,836,1
533,51,271,1
534,51,842,1
535,51,667,1
536,51,371,1
537,51,945,1
538,51,323,1
539,51,207,1
540,51,927,1
541,51,1067,1
542,51,869,1
543,51,640,1
544,51,333,1
545,51,444,1
546,51,305,1
547,51,317,1
548,51,1064,1
549,51,19,1
550,51,269,1
551,51,483,1
552,51,864,1
553,51,191,1
554,51,929,1
555,51,395,1
556,51,246,1
557,51,169,1
558,51,347,1
559,51,992,1
560,51,288,1
561,51,626,1
562,51,619,1
563,51,1051,1
564,51,564,1
565,51,25,1
566,51,94,1
567,51,286,1
568,51,1107,1
569,51,13,1
570,51,103,1
571,51,1053,1
572,51,814,1
573,51,50,1
574,51,418,1
575,51,719,1
576,51,802,1
577,51,193,1
578,51,467,1
579,51,961,1
580,51,174,1
581,51,513,1
582,51,896,1
583,51,63,1
584,51,399,1
585,51,281,1
586,51,765,1
587,51,284,1
588,51,310,1
589,51,157,1
590,51,232,1
591,51,980,1
592,51,891,1
593,51,1033,1
594,51,473,1
595,51,767,1
596,51,1065,1
597,51,1088,1
598,51,738,1
599,51,0,1
600,51,1030,1
601,51,585,1
602,51,447,1
603,51,1105,1
604,51,466,1
605,51,114,1
606,51,708,1
607,51,117,1
608,51,89,1
609,51,643,1
610,51,440,1
611,51,914,1
612,51,1112,1
613,51,120,1
614,51,1032,1
615,51,1021,1
616,51,827,1
617,51,596,1
618,51,480,1
619,51,28,1
620,51,639,1
621,51,378,1
622,51,892,1
623,51,548,1
624,51,131,1
625,51,325,1
626,51,796,1
627,51,783,1
628,51,3,1
629,51,526,1
630,51,76,1
631,51,1040,1
632,51,784,1
633,51,77,1
634,51,581,1
635,51,957,1
636,51,887,1
637,51,1085,1
638,51,997,1
639,51,965,1
640,51,389,1
641,51,433,1
642,51,99,1
643,51,1017,1
644,51,202,1
645,51,876,1
646,51,636,1
647,51,22,1
648,51,946,1
649,51,995,1
650,51,5,1
651,51,330,1
652,51,420,1
653,51,661,1
654,51,31,1
655,51,223,1
656,51,832,1
657,51,359,1
658,51,183,1
659,51,21,1
660,51,755,1
661,51,320,1
662,51,132,1
663,51,298,1
664,51,575,1
665,51,411,1
666,51,573,1
667,57,187,1
668,80,339,1
669,80,295,1
670,80,1083,1
671,80,1016,1
672,80,986,1
673,80,703,1
674,80,829,1
675,80,490,1
676,80,284,1
677,80,71,1
678,80,999,1
679,80,548,1
680,80,822,1
681,80,849,1
682,80,81,1
683,80,862,1
684,80,78,1
685,80,635,1
686,80,908,1
687,80,864,1
688,80,70,1
689,80,876,1
690,80,818,1
691,80,793,1
692,80,644,1
693,80,816,1
694,80,544,1
695,80,947,1
696,80,83,1
697,80,659,1
698,80,608,1
699,80,316,1
700,80,352,1
