,TF,Target,Label
0,1,343,1
1,1,82,1
2,1,165,1
3,1,384,1
4,1,631,1
5,1,126,1
6,1,651,1
7,1,680,1
8,1,37,1
9,1,474,1
10,1,348,1
11,1,113,1
12,1,11,1
13,1,101,1
14,1,142,1
15,1,271,1
16,1,345,1
17,1,402,1
18,1,177,1
19,1,463,1
20,1,170,1
21,1,487,1
22,1,154,1
23,1,593,1
24,1,260,1
25,1,688,1
26,1,606,1
27,1,535,1
28,1,545,1
29,1,685,1
30,1,172,1
31,1,522,1
32,1,199,1
33,1,324,1
34,1,399,1
35,1,633,1
36,1,364,1
37,1,246,1
38,1,461,1
39,1,642,1
40,1,610,1
41,1,282,1
42,1,319,1
43,1,188,1
44,1,244,1
45,1,559,1
46,1,135,1
47,1,176,1
48,1,390,1
49,1,608,1
50,1,303,1
51,1,393,1
52,1,155,1
53,1,541,1
54,1,451,1
55,1,509,1
56,1,196,1
57,1,60,1
58,1,570,1
59,1,80,1
60,1,205,1
61,1,74,1
62,1,678,1
63,1,567,1
64,1,335,1
65,1,438,1
66,1,51,1
67,1,437,1
68,1,580,1
69,1,585,1
70,1,174,1
71,1,354,1
72,1,66,1
73,1,14,1
74,1,485,1
75,1,417,1
76,1,201,1
77,1,45,1
78,1,536,1
79,1,350,1
80,1,229,1
81,1,2,1
82,1,237,1
83,1,329,1
84,1,538,1
85,1,500,1
86,1,652,1
87,1,618,1
88,1,643,1
89,1,293,1
90,1,604,1
91,1,561,1
92,1,120,1
93,1,456,1
94,1,360,1
95,1,349,1
96,1,217,1
97,1,96,1
98,1,219,1
99,1,185,1
100,1,278,1
101,1,35,1
102,1,466,1
103,1,283,1
104,1,596,1
105,1,423,1
106,1,269,1
107,1,696,1
108,1,320,1
109,1,383,1
110,1,346,1
111,1,33,1
112,1,655,1
113,1,195,1
114,1,274,1
115,1,682,1
116,1,473,1
117,1,216,1
118,1,181,1
119,1,551,1
120,1,85,1
121,1,99,1
122,1,168,1
123,1,158,1
124,1,523,1
125,1,672,1
126,1,647,1
127,1,339,1
128,1,686,1
129,1,460,1
130,1,65,1
131,1,149,1
132,1,568,1
133,1,398,1
134,1,377,1
135,1,308,1
136,1,75,1
137,1,373,1
138,1,69,1
139,1,505,1
140,1,275,1
141,1,355,1
142,1,64,1
143,1,389,1
144,1,428,1
145,1,617,1
146,1,363,1
147,1,193,1
148,1,376,1
149,1,692,1
150,1,220,1
151,1,653,1
152,1,352,1
153,1,310,1
154,1,18,1
155,1,392,1
156,1,562,1
157,1,261,1
158,1,118,1
159,1,270,1
160,1,565,1
161,1,157,1
162,1,584,1
