,TF,Target,Label
0,0,185,1
1,0,112,1
2,12,124,1
3,12,181,1
4,12,125,1
5,12,337,1
6,12,145,1
7,12,277,1
8,12,442,1
9,12,63,1
10,12,469,1
11,12,456,1
12,12,311,1
13,12,620,1
14,12,79,1
15,12,247,1
16,12,208,1
17,12,361,1
18,12,304,1
19,12,173,1
20,12,19,1
21,12,447,1
22,12,272,1
23,12,98,1
24,12,169,1
25,12,47,1
26,12,364,1
27,12,15,1
28,12,490,1
29,12,115,1
30,12,554,1
31,12,135,1
32,12,328,1
33,12,535,1
34,12,284,1
35,12,599,1
36,12,437,1
37,12,576,1
38,12,384,1
39,12,293,1
40,12,69,1
41,12,287,1
42,12,34,1
43,12,271,1
44,12,164,1
45,12,350,1
46,12,28,1
47,12,343,1
48,12,273,1
49,12,348,1
50,12,49,1
51,12,141,1
52,12,58,1
53,12,207,1
54,12,505,1
55,12,478,1
56,12,232,1
57,12,617,1
58,12,118,1
59,12,577,1
60,12,365,1
61,12,91,1
62,12,3,1
63,12,501,1
64,12,500,1
65,12,621,1
66,12,494,1
67,12,381,1
68,12,604,1
69,12,226,1
70,12,75,1
71,12,345,1
72,12,584,1
73,12,119,1
74,12,431,1
75,12,230,1
76,12,569,1
77,12,268,1
78,12,27,1
79,12,552,1
80,12,252,1
81,12,416,1
82,12,114,1
83,12,199,1
84,12,132,1
85,12,66,1
86,12,65,1
87,12,402,1
88,12,14,1
89,12,435,1
90,12,101,1
91,12,64,1
92,12,614,1
93,12,405,1
94,12,194,1
95,12,35,1
96,12,491,1
97,12,629,1
98,12,550,1
99,12,20,1
100,12,598,1
101,12,493,1
102,12,121,1
103,12,195,1
104,12,2,1
105,12,300,1
106,12,22,1
107,12,608,1
108,12,146,1
109,12,129,1
110,12,187,1
111,12,244,1
112,12,297,1
113,12,29,1
114,12,94,1
115,12,260,1
116,12,231,1
117,12,512,1
118,12,591,1
119,12,619,1
120,12,81,1
121,12,4,1
122,12,217,1
123,12,506,1
124,12,62,1
125,12,21,1
126,12,254,1
127,12,235,1
128,12,76,1
129,12,25,1
130,12,574,1
131,12,523,1
132,12,537,1
133,12,104,1
134,12,452,1
135,12,347,1
136,12,147,1
137,12,589,1
138,12,251,1
139,12,369,1
140,12,426,1
141,12,9,1
142,12,24,1
143,12,475,1
144,12,423,1
145,12,0,1
146,12,454,1
147,12,120,1
148,12,60,1
149,12,275,1
150,12,318,1
151,12,218,1
152,12,73,1
153,12,382,1
154,80,371,1
155,80,323,1
156,80,333,1
157,80,181,1
158,83,253,1
159,83,436,1
160,83,206,1
161,83,573,1
162,83,249,1
163,83,425,1
164,83,526,1
165,83,142,1
166,83,179,1
167,83,545,1
168,83,276,1
169,83,564,1
170,83,25,1
171,83,532,1
172,83,349,1
173,83,332,1
174,83,39,1
175,83,14,1
176,83,30,1
177,83,291,1
178,83,433,1
179,83,160,1
180,83,623,1
181,83,313,1
182,83,400,1
183,83,390,1
184,83,399,1
185,83,208,1
186,83,451,1
187,83,493,1
188,83,563,1
189,83,18,1
190,83,185,1
191,83,542,1
192,83,565,1
193,83,21,1
194,83,334,1
195,83,274,1
196,83,577,1
197,83,376,1
198,83,211,1
199,83,508,1
200,83,481,1
201,83,227,1
202,83,297,1
203,83,544,1
204,83,509,1
205,83,97,1
206,83,80,1
207,83,398,1
208,83,592,1
209,83,406,1
210,83,96,1
211,83,267,1
212,83,228,1
213,83,105,1
214,83,596,1
215,83,447,1
216,83,266,1
217,83,411,1
218,83,222,1
219,83,533,1
220,83,629,1
221,83,184,1
222,83,236,1
223,83,473,1
224,83,257,1
225,83,356,1
226,83,474,1
227,83,364,1
228,83,28,1
229,83,140,1
230,83,427,1
231,83,340,1
232,83,70,1
233,83,391,1
234,83,101,1
235,83,308,1
236,83,182,1
237,83,5,1
238,83,131,1
239,83,560,1
240,83,371,1
241,83,550,1
242,83,464,1
243,83,538,1
244,83,379,1
245,83,514,1
246,83,126,1
247,83,402,1
248,83,367,1
249,83,212,1
250,83,171,1
251,83,58,1
252,83,312,1
253,83,246,1
254,83,535,1
255,83,112,1
256,83,380,1
257,83,146,1
258,83,452,1
259,83,166,1
260,83,193,1
261,83,154,1
262,83,343,1
263,83,582,1
264,83,85,1
265,83,583,1
266,83,98,1
267,83,138,1
268,83,475,1
269,83,307,1
270,83,149,1
271,83,12,1
272,83,214,1
273,96,498,1
274,96,461,1
275,96,495,1
276,96,392,1
277,96,290,1
278,96,270,1
279,96,564,1
280,96,464,1
281,96,394,1
282,96,386,1
283,96,422,1
284,96,104,1
285,96,15,1
286,96,577,1
287,96,312,1
288,96,473,1
289,96,291,1
290,96,583,1
291,96,331,1
292,96,440,1
293,96,602,1
294,96,62,1
295,96,192,1
296,96,294,1
297,96,240,1
298,96,64,1
299,96,507,1
300,96,311,1
301,96,486,1
302,96,354,1
303,96,194,1
304,96,617,1
305,96,266,1
306,96,41,1
307,96,537,1
308,96,567,1
309,96,402,1
310,96,476,1
311,96,370,1
312,96,6,1
313,96,408,1
314,96,359,1
315,96,555,1
316,96,626,1
317,96,168,1
318,96,103,1
319,96,603,1
320,96,480,1
321,96,98,1
322,96,620,1
323,96,418,1
324,96,423,1
325,96,162,1
326,96,438,1
327,96,383,1
328,96,158,1
329,96,123,1
330,96,586,1
331,96,229,1
332,96,601,1
333,96,335,1
334,96,578,1
335,96,508,1
336,96,345,1
337,96,242,1
338,96,193,1
339,96,74,1
340,96,19,1
341,96,439,1
342,96,355,1
343,96,174,1
344,96,82,1
345,96,628,1
346,96,262,1
347,96,435,1
348,96,37,1
349,96,327,1
350,96,456,1
351,96,400,1
352,96,180,1
353,96,111,1
354,96,112,1
355,96,143,1
356,96,76,1
357,96,516,1
358,96,255,1
359,96,546,1
360,96,308,1
361,96,441,1
362,96,10,1
363,96,607,1
364,96,585,1
365,96,248,1
366,96,73,1
367,96,130,1
368,96,271,1
369,96,336,1
370,96,373,1
371,96,14,1
372,96,515,1
373,96,372,1
374,96,341,1
375,96,189,1
376,96,542,1
377,96,133,1
378,96,362,1
379,96,594,1
380,96,212,1
381,96,285,1
382,96,494,1
383,96,7,1
384,96,388,1
385,96,118,1
386,96,451,1
387,96,246,1
388,96,314,1
389,96,465,1
390,96,625,1
