,TF,Target,Label
0,7,283,1
1,7,132,1
2,7,64,1
3,7,465,1
4,7,321,1
5,7,58,1
6,7,169,1
7,7,105,1
8,7,19,1
9,7,88,1
10,7,214,1
11,7,413,1
12,7,592,1
13,7,441,1
14,7,122,1
15,7,241,1
16,7,651,1
17,7,368,1
18,7,181,1
19,7,174,1
20,7,671,1
21,7,344,1
22,7,383,1
23,7,1,1
24,7,173,1
25,7,647,1
26,7,156,1
27,7,661,1
28,7,142,1
29,7,71,1
30,7,336,1
31,7,489,1
32,7,83,1
33,7,426,1
34,7,72,1
35,7,470,1
36,7,260,1
37,7,373,1
38,7,340,1
39,7,659,1
40,7,596,1
41,7,665,1
42,7,650,1
43,7,595,1
44,7,480,1
45,7,231,1
46,7,536,1
47,7,455,1
48,7,469,1
49,7,271,1
50,7,94,1
51,7,467,1
52,7,556,1
53,7,618,1
54,7,23,1
55,7,95,1
56,7,295,1
57,7,676,1
58,7,417,1
59,7,157,1
60,7,339,1
61,7,513,1
62,7,76,1
63,7,175,1
64,7,293,1
65,7,588,1
66,7,198,1
67,7,91,1
68,7,338,1
69,7,364,1
70,7,677,1
71,7,62,1
72,7,356,1
73,7,628,1
74,7,107,1
75,7,499,1
76,7,571,1
77,7,239,1
78,7,180,1
79,7,407,1
80,7,574,1
81,7,662,1
82,7,27,1
83,7,535,1
84,7,272,1
85,7,191,1
86,7,93,1
87,7,691,1
88,7,497,1
89,7,450,1
90,7,48,1
91,7,405,1
92,7,205,1
93,7,36,1
94,7,562,1
95,7,506,1
96,7,47,1
97,7,355,1
98,7,686,1
99,7,599,1
100,7,610,1
101,7,631,1
102,7,520,1
103,7,504,1
104,7,2,1
105,7,641,1
106,7,172,1
107,7,523,1
108,7,226,1
109,7,246,1
110,7,188,1
111,7,553,1
112,7,312,1
113,7,654,1
114,7,78,1
115,7,106,1
116,7,453,1
117,7,186,1
118,7,147,1
119,7,427,1
120,7,351,1
121,7,619,1
122,7,357,1
123,7,582,1
124,7,375,1
125,7,162,1
126,7,103,1
127,7,452,1
128,7,629,1
129,7,245,1
130,7,587,1
131,7,274,1
132,7,422,1
133,7,210,1
134,7,51,1
135,7,117,1
136,7,663,1
137,7,486,1
138,7,664,1
139,7,667,1
140,7,566,1
141,7,589,1
142,7,669,1
143,7,511,1
144,7,526,1
145,7,476,1
146,7,648,1
147,7,18,1
148,7,21,1
149,7,670,1
150,7,666,1
151,7,89,1
152,7,331,1
153,7,408,1
154,7,314,1
155,7,262,1
156,7,384,1
157,7,121,1
158,7,521,1
159,7,501,1
160,7,230,1
161,7,402,1
162,7,329,1
163,7,201,1
164,7,25,1
165,7,124,1
166,7,544,1
167,7,129,1
168,7,138,1
169,7,477,1
170,7,207,1
171,7,221,1
172,7,131,1
173,7,33,1
174,7,565,1
175,7,463,1
176,7,690,1
177,7,561,1
178,7,12,1
179,7,604,1
180,7,108,1
181,7,81,1
182,7,17,1
183,7,102,1
184,7,512,1
185,7,689,1
186,7,326,1
187,7,67,1
188,7,474,1
189,7,420,1
190,7,680,1
191,7,369,1
192,7,433,1
193,7,352,1
194,7,242,1
195,7,570,1
196,7,626,1
197,7,165,1
198,7,8,1
199,7,487,1
200,7,376,1
201,7,299,1
202,7,261,1
203,7,362,1
204,7,22,1
205,7,204,1
206,7,430,1
207,7,518,1
208,7,605,1
209,7,316,1
210,7,445,1
211,7,503,1
212,7,109,1
213,7,681,1
214,7,616,1
215,7,136,1
216,7,189,1
217,7,602,1
218,7,39,1
219,7,578,1
220,7,273,1
221,7,224,1
222,7,490,1
223,7,389,1
224,7,160,1
225,7,310,1
226,7,400,1
227,7,655,1
228,7,86,1
229,7,508,1
230,7,55,1
231,7,269,1
232,7,66,1
233,7,61,1
234,7,158,1
235,7,319,1
236,7,6,1
237,7,568,1
238,7,500,1
239,7,43,1
240,7,257,1
241,7,546,1
242,7,354,1
243,7,612,1
244,7,576,1
245,7,630,1
246,7,308,1
247,7,14,1
248,7,114,1
249,7,387,1
250,7,337,1
251,7,380,1
252,7,498,1
253,7,190,1
254,7,249,1
255,7,472,1
256,7,454,1
257,7,294,1
258,7,254,1
259,7,483,1
260,7,410,1
261,7,222,1
262,7,358,1
263,7,139,1
264,7,347,1
265,7,98,1
266,7,154,1
267,7,633,1
268,7,359,1
269,7,235,1
270,7,286,1
271,7,634,1
272,7,539,1
273,7,538,1
274,7,10,1
275,7,683,1
276,7,622,1
277,7,101,1
278,7,444,1
279,7,642,1
280,7,164,1
281,7,151,1
282,7,45,1
283,7,613,1
284,7,495,1
285,7,219,1
286,7,182,1
287,7,386,1
288,7,232,1
289,7,646,1
290,7,199,1
291,7,548,1
292,7,451,1
293,7,446,1
294,7,479,1
295,7,584,1
296,7,360,1
297,7,514,1
298,7,428,1
299,7,350,1
300,7,425,1
301,7,448,1
302,7,516,1
303,7,87,1
304,7,325,1
305,7,111,1
306,7,170,1
307,7,195,1
308,7,309,1
309,7,54,1
310,7,658,1
311,7,569,1
312,7,0,1
313,7,404,1
314,7,275,1
315,7,682,1
316,7,507,1
317,7,125,1
318,12,569,1
319,12,45,1
320,12,646,1
321,12,374,1
322,12,339,1
323,12,487,1
324,12,137,1
325,12,562,1
326,12,222,1
327,12,640,1
328,12,530,1
329,12,134,1
330,12,321,1
331,12,634,1
332,12,302,1
333,12,165,1
334,12,319,1
335,12,433,1
336,12,86,1
337,12,189,1
338,12,663,1
339,12,683,1
340,12,259,1
341,12,453,1
342,12,437,1
343,12,145,1
344,12,577,1
345,12,647,1
346,12,595,1
347,12,460,1
348,12,197,1
349,12,114,1
350,12,210,1
351,12,602,1
352,12,190,1
353,12,323,1
354,12,648,1
355,12,127,1
356,12,278,1
357,12,304,1
358,12,346,1
359,12,409,1
360,12,665,1
361,12,98,1
362,12,467,1
363,12,283,1
364,12,484,1
365,12,348,1
366,12,214,1
367,12,523,1
368,12,198,1
369,12,616,1
370,12,655,1
371,12,325,1
372,12,5,1
373,12,49,1
374,12,622,1
375,12,441,1
376,12,280,1
377,12,599,1
378,12,260,1
379,12,423,1
380,12,233,1
381,12,183,1
382,12,2,1
383,12,174,1
384,12,274,1
385,12,670,1
386,12,176,1
387,12,128,1
388,12,207,1
389,12,268,1
390,12,100,1
391,12,73,1
392,12,522,1
393,12,271,1
394,12,592,1
395,12,204,1
396,12,508,1
397,12,365,1
398,12,227,1
399,12,472,1
400,12,536,1
401,12,345,1
402,12,404,1
403,12,224,1
404,12,158,1
405,12,326,1
406,12,431,1
407,12,400,1
408,12,567,1
409,12,565,1
410,12,186,1
411,12,361,1
412,12,16,1
413,12,185,1
414,12,514,1
415,12,642,1
416,12,485,1
417,12,239,1
418,12,273,1
419,12,76,1
420,12,129,1
421,12,520,1
422,12,331,1
423,12,689,1
424,12,362,1
425,12,370,1
